"","id","my_text_data","name","Location","Date","Sentiment"
"1",1,"TRENDING: New Yorkers encounter empty supermarket shelves (pictured, Wegmans in Brooklyn), sold-out online grocers (FoodKick, MaxDelivery) as #coronavirus-fearing shoppers stock up https://t.co/Gr76pcrLWh https://t.co/ivMKMsqdT1",44953,"UK","02/03/2020","Extremely Negative"
"2",2,"When I couldn't find hand sanitizer at Fred Meyer, I turned to #Amazon. But $114.97 for a 2 pack of Purell??!!Check out how  #coronavirus concerns are driving up prices. https://t.co/ygbipBflMY",44954,"UK","02/03/2020","Positive"
"3",3,"Find out how you can protect yourself and loved ones from #coronavirus. ?",44955,"UK","02/03/2020","Extremely Positive"
"4",4,"#Panic buying hits #NewYork City as anxious shoppers stock up on food&amp;medical supplies after #healthcare worker in her 30s becomes #BigApple 1st confirmed #coronavirus patient OR a #Bloomberg staged event?





https://t.co/IASiReGPC4





#QAnon #QAnon2018 #QAnon2020 


#Election2020 #CDC https://t.co/29isZOewxu",44956,"UK","02/03/2020","Negative"
"5",5,"#toiletpaper #dunnypaper #coronavirus #coronavirusaustralia #CoronaVirusUpdate #Covid_19 #9News  #Corvid19 #7NewsMelb #dunnypapergate #Costco    One week everyone buying baby milk powder the next everyone buying up toilet paper. https://t.co/ScZryVvsIh",44957,"UK","03/03/2020","Neutral"
"6",6,"Do you remember the last time you paid $2.99 a gallon for regular gas in Los Angeles?Prices at the pump are going down. A look at how the #coronavirus is impacting prices. 4pm @ABC7 https://t.co/Pyzq8YMuV5",44958,"UK","03/03/2020","Neutral"
"7",7,"Voting in the age of #coronavirus = hand sanitizer ? #SuperTuesday https://t.co/z0BeL4O6Dk",44959,"UK","03/03/2020","Positive"
"8",8,"@DrTedros ""We cant stop #COVID19 without protecting #healthworkers.


Prices of surgical masks have increased six-fold, N95 respirators have more than trebled &amp; gowns cost twice as much""-@DrTedros #coronavirus",44960,"UK","03/03/2020","Neutral"
"9",9,"HI TWITTER! I am a pharmacist. I sell hand sanitizer for a living! Or I do when any exists. Like masks, it is sold the fuck out everywhere. SHOULD YOU BE WORRIED? No. Use soap. SHOULD YOU VISIT TWENTY PHARMACIES LOOKING FOR THE LAST BOTTLE? No. Pharmacies are full of sick people.",44961,"UK","04/03/2020","Extremely Negative"
"10",10,"Anyone been in a supermarket over the last few days? Went to do my NORMAL shop last night &amp; ??is the sight that greeted me. Barmy! (Btw, whats so special about tinned tomatoes? ????????????). #Covid_19 #Dublin https://t.co/rGsM8xUxr6",44962,"UK","04/03/2020","Extremely Positive"
"11",11,"Best quality couches at unbelievably low prices available to order.





We are in Boksburg GP 





For more info WhatsApp:


084 764 8086





#SuperTuesdsy #PowerTalk 


#Covid_19 #SayEntrepreneur 


#DJSBU https://t.co/HhDJhyQ2Dc",44963,"UK","04/03/2020","Positive"
"12",12,"Beware of counterfeits trying to sell fake masks at cheap prices. Let's defeat coronavirus threat, #Covid_19 collectively. #BeSafe #BeACascader #CoronavirusReachesDelhi 


#coronavirusindia 





https://t.co/2Ikkmimj4f https://t.co/RB9rtt7Nkc",44964,"UK","04/03/2020","Extremely Negative"
"13",13,"Panic food buying in Germany due to #coronavirus has begun.  But the #organic is left behind! #Hamsterkauf





Panic buying is called ""Hamster purchases""(Hamsterkäufe) in German, taken from the way Hamsters stuff their cheeks with food.  





https://t.co/aYQtLLGW1m",44965,"USA","04/03/2020","Extremely Negative"
